id,notation,status,description,label,related
http://codes.wmo.int/iwxxm/AirWxPhenomena/BKN_CLD,BKN_CLD,stable,Broken cloud,Broken cloud,
http://codes.wmo.int/iwxxm/AirWxPhenomena/FRQ_CB,FRQ_CB,stable,Frequent cumulonimbus cloud,Frequent cumulonimbus cloud,
http://codes.wmo.int/iwxxm/AirWxPhenomena/FRQ_TCU,FRQ_TCU,stable,Frequent towering cumulus cloud,Frequent towering cumulus cloud,
http://codes.wmo.int/iwxxm/AirWxPhenomena/ISOL_CB,ISOL_CB,stable,Isolated cumulonimbus cloud,Isolated cumulonimbus cloud,
http://codes.wmo.int/iwxxm/AirWxPhenomena/ISOL_TCU,ISOL_TCU,stable,Isolated towering cumulus cloud,Isolated towering cumulus cloud,
http://codes.wmo.int/iwxxm/AirWxPhenomena/ISOL_TS,ISOL_TS,stable,Isolated thunderstorms,Isolated thunderstorms,
http://codes.wmo.int/iwxxm/AirWxPhenomena/ISOL_TSGR,ISOL_TSGR,stable,Isolated thunderstorms with hail,Isolated thunderstorms with hail,
http://codes.wmo.int/iwxxm/AirWxPhenomena/MOD_ICE,MOD_ICE,stable,Moderate icing,Moderate icing,
http://codes.wmo.int/iwxxm/AirWxPhenomena/MOD_MTW,MOD_MTW,stable,Moderate mountain wave,Moderate mountain wave,
http://codes.wmo.int/iwxxm/AirWxPhenomena/MOD_TURB,MOD_TURB,stable,Moderate turbulence,Moderate turbulence,
http://codes.wmo.int/iwxxm/AirWxPhenomena/MT_OBSC,MT_OBSC,stable,Mountain obscuration,Mountain obscuration,
http://codes.wmo.int/iwxxm/AirWxPhenomena/OCNL_CB,OCNL_CB,stable,Occasional cumulonimbus cloud,Occasional cumulonimbus cloud,
http://codes.wmo.int/iwxxm/AirWxPhenomena/OCNL_TCU,OCNL_TCU,stable,Occasional towering cumulus cloud,Occasional towering cumulus cloud,
http://codes.wmo.int/iwxxm/AirWxPhenomena/OCNL_TS,OCNL_TS,stable,Occasional thunderstorms,Occasional thunderstorms,
http://codes.wmo.int/iwxxm/AirWxPhenomena/OCNL_TSGR,OCNL_TSGR,stable,Occasional thunderstorms with hail,Occasional thunderstorms with hail,
http://codes.wmo.int/iwxxm/AirWxPhenomena/OVC_CLD,OVC_CLD,stable,Overcast cloud,Overcast cloud,
http://codes.wmo.int/iwxxm/AirWxPhenomena/SFC_VIS,SFC_VIS,stable,Surface visibility,Surface visibility,
http://codes.wmo.int/iwxxm/AirWxPhenomena/SFC_WIND,SFC_WIND,stable,Widespread mean surface wind,Widespread mean surface wind,
