id,notation,status,description,label,altLabel,modified,publisher,versionInfo,manager,owner,subregister,related,iwxxmVersionInfo
http://codes.wmo.int/iwxxm/VolcanicAshConcentrations,VolcanicAshConcentrations,stable,The items within this code table are the categories of volcanic ash concentrations.,Volcanic Ash Concentrations,,2018-08-22T14:48:20.308Z,,,http://codes.wmo.int/system/organization/www-dm,http://codes.wmo.int/system/organization/wmo,,,2025-2
http://codes.wmo.int/iwxxm/nil,nil,stable,Nil-reason terms are used to provide an explanation for recording a missing (or void) value within a data product. Terms are drawn from authorities in addition to WMO including ISO/TC 211 (from ISO 19136:2007 Geography markup language clause 8.2.3.1; published on their behalf by the Open Geospatial Consortium).,Code Table D-1: Nil reasons,,2014-09-03T09:52:34.941Z,,12,http://codes.wmo.int/system/organization/www-dm,http://codes.wmo.int/system/organization/wmo,,,1.1;2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/4678,4678,stable,"This register provides terms that may be used to describe significant [recent], present and forecast weather - enumerating the set of meteorologically valid options defined in WMO No. 306 Vol 1 code-table 4678. Each term comprises one or more of the elements from code-table 4678: 'intensity or proximity', 'descriptor', 'precipitation', 'obscuration' and 'other'.",Code Table 4678: Significant weather phenomena,w’w’,2017-09-15T15:45:38.696Z,,3,http://www.wmo.int/pages/prog/www/WMOCodes/WMO306_vI1/VolumeI.1.html,http://codes.wmo.int/system/organization/www-dm,http://codes.wmo.int/system/organization/wmo,,1.1;2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/AerodromePresentOrForecastWeather,AerodromePresentOrForecastWeather,stable,"The items within this code table are the weather phenomena that may be reported as forecast to occur or have been observed at an aerodrome. Requirements for reporting present or forecast weather at an aerodrome are specified in Technical Regulations, Volume II (WMO-No. 49), Part II, Appendix 3, [C.3.1.] 4.4 (observation), Appendix 5, [C.3.1] 2.2.4 (trend forecast) and [C.3.1.] 1.2.3 (for TAF).  The weather phenomena listed here are a subset of the enumerated set of meteorologically valid combinations specified in Part A, Code Table 4678 comprising elements ‘intensity or proximity’, ‘descriptor’, ‘precipitation’, ‘obscuration’ and/or ‘other’.",Code Table D-7: Aerodrome present or forecast weather,,2014-09-03T09:52:40.633Z,,2,http://codes.wmo.int/system/organization/www-dm,http://codes.wmo.int/system/organization/wmo,,D-7,1.1;2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/AerodromeRecentWeather,AerodromeRecentWeather,stable,"The items within this code table are the weather types that may be reported within a meteorological aerodrome observation report that have occurred during the period since the last issued routine report or last hour, whichever is shorter, but are not observed at the time of the observation. Requirements for reporting recent weather at an aerodrome are specified in Technical Regulations, Volume II (WMO-No. 49), Part II, Appendix 3, [C.3.1.] 4.8.1.1.  This code table contains the set of weather types that are permitted for reporting recent weather. These are a subset of the enumerated set of meteorologically valid combinations specified in Part A, Code Table 4678 comprising elements ‘intensity or proximity’, ‘descriptor’, ‘precipitation’, ‘obscuration’ and/or ‘other’.",Code Table D-6: Aerodrome recent weather,,2018-04-04T15:53:40.229Z,,3,http://codes.wmo.int/system/organization/www-dm,http://codes.wmo.int/system/organization/wmo,,D-6,1.1;2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/AirWxPhenomena,AirWxPhenomena,stable,ICAO Annex 3/ WMO No. 49-2 Appendix 6 Section 2.1,Air Wx Phenomena,,2016-12-30T13:26:05.884Z,,1,,,,,2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/AviationColourCode,AviationColourCode,stable,Volcanic Aviation Colour Code ICAO Annex 15,Volcanic Aviation Colour Code,,2016-12-30T13:26:16.18Z,,1,,,,,2.1;3.0;2021-2;2023-1
http://codes.wmo.int/iwxxm/CloudAmountReportedAtAerodrome,CloudAmountReportedAtAerodrome,stable,"The items within this code table are the cloud amount categories of operational significance for aviation as specified in Technical Regulations, Volume II (WMO-No. 49): Meteorological Services for International Air Navigation. This code table contains a subset of the cloud amount categories defined in Part B FM 94 BUFR Code Table 0 20 008.",Code Table D-8: Cloud amount reported at aerodrome,,2019-10-24T10:48:29.014Z,,11,http://codes.wmo.int/system/organization/www-dm,http://codes.wmo.int/system/organization/wmo,,D-8,1.1;2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/MeteorologicalFeature,MeteorologicalFeature,stable,The items within this code table are the weather phenomena being represented by a weather object.,Meteorological Features,,2021-07-15T00:00:00.000Z,,1,,,,,2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/SigConvectiveCloudType,SigConvectiveCloudType,stable,"The items within this code table are the cloud types of operational significance for aviation as specified in Technical Regulations, Volume II (WMO-No. 49): Meteorological Services for International Air Navigation. This code table contains a subset of the cloud types defined in Part B FM 94 BUFR Code Table 0 20 012.",Code Table D-9: Significant convective cloud type,,2019-10-24T10:48:05.101Z,,3,http://codes.wmo.int/system/organization/www-dm,http://codes.wmo.int/system/organization/wmo,,D-9,1.1;2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/SigWxPhenomena,SigWxPhenomena,stable,"The items within this code table are the types of weather phenomena of significance to aeronautical operations – as used in SIGMET and AIRMET reports and specified in Technical Regulations, Volume II (WMO-No. 49), Part II, Appendix 6, [C.3.1.] 1.1.4.",Code Table D-10: Significant Weather Phenomena,,2014-09-03T09:52:41.384Z,,2,http://codes.wmo.int/system/organization/www-dm,http://codes.wmo.int/system/organization/wmo,,D-10,1.1;2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/SpaceWxLocation,SpaceWxLocation,stable,The items within this code table are the locations of space weather phenomena of significance to aeronautical operations,Space Wx Location,,2019-03-20T16:57:02.324Z,,1,,,,,3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/SpaceWxPhenomena,SpaceWxPhenomena,stable,The items within this code table are the types of space weather phenomena of significance to aeronautical operations,Space Wx Phenomena,,2019-03-20T16:54:58.099Z,,1,,,,,3.0;2021-2;2023-1
http://codes.wmo.int/iwxxm/WeatherCausingVisibilityReduction,WeatherCausingVisibilityReduction,stable,ICAO Annex 3/ WMO No. 49-2 Appendix 6 Section 2.1 under SFC VIS,Weather Causing Visibility Reduction,,2016-12-30T13:26:25.95Z,,1,,,,,2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/observable-property,observable-property,stable,"The items within this code table are composite observable properties that define the set of physical properties evaluated as a result of regulated procedures specified in Technical Regulations, Volume II (WMO-No. 49): Meteorological Services for International Air Navigation. These include aerodrome observation and forecast reports (e.g. METAR, SPECI and TAF). http://codes.wmo.int/system/organization/wmo",Code Table D-5: IWXXM observable properties,,2017-11-23T11:08:18.808Z,,5,http://codes.wmo.int/system/organization/www-dm,http://codes.wmo.int/system/organization/wmo,,D-5,1.1;2.1
http://codes.wmo.int/iwxxm/observation-type,observation-type,stable,,Observation and measurement types,,2017-11-09T11:58:26.997Z,http://codes.wmo.int/system/organization/wmo,4,http://codes.wmo.int/system/organization/www-dm,http://codes.wmo.int/system/organization/wmo,http://codes.wmo.int/49-2/observation-type/IWXXM,,1.1;2.1
